Date,Calib.Date,Time,Tank,Treatment,Type,Temperature,pH.MV,Salinity,Conductivity,Notes,,,
20190513,NA,10:45, Tank 1, Ambient,Treatment,27.37,NA,NA,NA,All temps on 5.13.19 were taken in the center of the tank using Apogee Thermometer,,,
20190513,NA,10:47, Tank 2, Heat,Treatment,27.37,NA,NA,NA,All temps on 5.13.19 were taken in the center of the tank using Apogee Thermometer,,,
20190513,NA,10:49, Tank 3, Heat,Treatment,27.38,NA,NA,NA,All temps on 5.13.19 were taken in the center of the tank using Apogee Thermometer,,,
20190513,NA,10:51, Tank 4, Ambient,Treatment,27.41,NA,NA,NA,All temps on 5.13.19 were taken in the center of the tank using Apogee Thermometer,,,
20190513,NA,10:52, Tank 5, Heat,Treatment,27.4,NA,NA,NA,All temps on 5.13.19 were taken in the center of the tank using Apogee Thermometer,,,
20190513,NA,10:55, Tank 6, Ambient,Treatment,27.39,NA,NA,NA,All temps on 5.13.19 were taken in the center of the tank using Apogee Thermometer,,,
20190513,NA,13:36, Tank 1, Ambient,Treatment,27.87,NA,NA,NA,All temps on 5.13.19 were taken in the center of the tank using Apogee Thermometer,,,
20190513,NA,13:37, Tank 2, Heat,Treatment,27.85,NA,NA,NA,All temps on 5.13.19 were taken in the center of the tank using Apogee Thermometer,,,
20190513,NA,13:38, Tank 3, Heat,Treatment,27.88,NA,NA,NA,All temps on 5.13.19 were taken in the center of the tank using Apogee Thermometer,,,
20190513,NA,13:39, Tank 4, Ambient,Treatment,27.89,NA,NA,NA,All temps on 5.13.19 were taken in the center of the tank using Apogee Thermometer,,,
20190513,NA,13:39, Tank 5, Heat,Treatment,27.9,NA,NA,NA,All temps on 5.13.19 were taken in the center of the tank using Apogee Thermometer,,,
20190513,NA,13:40, Tank 6, Ambient,Treatment,27.89,NA,NA,NA,All temps on 5.13.19 were taken in the center of the tank using Apogee Thermometer,,,
20190514,NA,8:20, Tank 1, Ambient,Treatment,27.22,NA,NA,NA,All temps on 5.14.19 were taken in the center of the tank using Apogee Thermometer,,,
20190514,NA,8:21, Tank 2, Heat,Treatment,28.46,NA,NA,NA,All temps on 5.14.19 were taken in the center of the tank using Apogee Thermometer,,,
20190514,NA,8:22, Tank 3, Heat,Treatment,28.12,NA,NA,NA,All temps on 5.14.19 were taken in the center of the tank using Apogee Thermometer,,,
20190514,NA,8:23, Tank 4, Ambient,Treatment,27.25,NA,NA,NA,All temps on 5.14.19 were taken in the center of the tank using Apogee Thermometer,,,
20190514,NA,8:24, Tank 5, Heat,Treatment,27.39,NA,NA,NA,All temps on 5.14.19 were taken in the center of the tank using Apogee Thermometer,,,
20190514,NA,8:24, Tank 6, Ambient,Treatment,27.26,NA,NA,NA,All temps on 5.14.19 were taken in the center of the tank using Apogee Thermometer,,,
20190514,NA,13:35, Tank 1, Ambient,Treatment,27.45,NA,NA,NA,All temps on 5.14.19 were taken in the center of the tank using Apogee Thermometer,,,
20190514,NA,13:36, Tank 2, Heat,Treatment,27.8,NA,NA,NA,All temps on 5.14.19 were taken in the center of the tank using Apogee Thermometer,,,
20190514,NA,13:36, Tank 3, Heat,Treatment,28.36,NA,NA,NA,All temps on 5.14.19 were taken in the center of the tank using Apogee Thermometer,,,
20190514,NA,13:37, Tank 4, Ambient,Treatment,27.44,NA,NA,NA,All temps on 5.14.19 were taken in the center of the tank using Apogee Thermometer,,,
20190514,NA,13:38, Tank 5, Heat,Treatment,28.04,NA,NA,NA,All temps on 5.14.19 were taken in the center of the tank using Apogee Thermometer,,,
20190514,NA,13:38, Tank 6, Ambient,Treatment,27.43,NA,NA,NA,All temps on 5.14.19 were taken in the center of the tank using Apogee Thermometer,,,
20190514,NA,16:35, Tank 1, Ambient,Treatment,27.52,NA,NA,NA,All temps on 5.14.19 were taken in the center of the tank using Apogee Thermometer,,,
20190514,NA,16:36, Tank 2, Heat,Treatment,28.14,NA,NA,NA,All temps on 5.14.19 were taken in the center of the tank using Apogee Thermometer,,,
20190514,NA,16:36, Tank 3, Heat,Treatment,28.56,NA,NA,NA,All temps on 5.14.19 were taken in the center of the tank using Apogee Thermometer,,,
20190514,NA,16:37, Tank 4, Ambient,Treatment,27.52,NA,NA,NA,All temps on 5.14.19 were taken in the center of the tank using Apogee Thermometer,,,
20190514,NA,16:38, Tank 5, Heat,Treatment,28.24,NA,NA,NA,All temps on 5.14.19 were taken in the center of the tank using Apogee Thermometer,,,
20190514,NA,16:38, Tank 6, Ambient,Treatment,27.52,NA,NA,NA,All temps on 5.14.19 were taken in the center of the tank using Apogee Thermometer,,,
20190515,NA, 09:11, Tank 1, Ambient,Treatment,27.03,NA,NA,NA,All temps on 5.15.19 taken from the center of the tank using Apogee Thermometer,,,
20190515,NA, 09:11, Tank 2, Heat,Treatment,27.7,NA,NA,NA,All temps on 5.15.19 taken from the center of the tank using Apogee Thermometer,,,
20190515,NA, 09:12, Tank 3, Heat,Treatment,27.98,NA,NA,NA,All temps on 5.15.19 taken from the center of the tank using Apogee Thermometer,,,
20190515,NA, 09:13, Tank 4, Ambient,Treatment,27.06,NA,NA,NA,All temps on 5.15.19 taken from the center of the tank using Apogee Thermometer,,,
20190515,NA, 09:13, Tank 5, Heat,Treatment,27.81,NA,NA,NA,All temps on 5.15.19 taken from the center of the tank using Apogee Thermometer,,,
20190515,NA, 09:14, Tank 6, Ambient,Treatment,27.04,NA,NA,NA,All temps on 5.15.19 taken from the center of the tank using Apogee Thermometer,,,
20190515,NA, 13:18, Tank 1, Ambient,Treatment,27.2,NA,NA,NA,All temps on 5.15.19 taken from the center of the tank using Apogee Thermometer,,,
20190515,NA, 13:19, Tank 2, Heat,Treatment,27.79,NA,NA,NA,All temps on 5.15.19 taken from the center of the tank using Apogee Thermometer,,,
20190515,NA, 13:19, Tank 3, Heat,Treatment,28.16,NA,NA,NA,All temps on 5.15.19 taken from the center of the tank using Apogee Thermometer,,,
20190515,NA, 13:20, Tank 4, Ambient,Treatment,27.24,NA,NA,NA,All temps on 5.15.19 taken from the center of the tank using Apogee Thermometer,,,
20190515,NA, 13:21, Tank 5, Heat,Treatment,27.98,NA,NA,NA,All temps on 5.15.19 taken from the center of the tank using Apogee Thermometer,,,
20190515,NA, 13:22, Tank 6, Ambient,Treatment,27.27,NA,NA,NA,All temps on 5.15.19 taken from the center of the tank using Apogee Thermometer,,,
20190515,NA, 17:39, Tank 1, Ambient,Treatment,27.46,NA,NA,NA,All temps on 5.15.19 taken from the center of the tank using Apogee Thermometer,,,
20190515,NA, 17:40, Tank 2, Heat,Treatment,28.63,NA,NA,NA,All temps on 5.15.19 taken from the center of the tank using Apogee Thermometer,,,
20190515,NA, 17:40, Tank 3, Heat,Treatment,28.9,NA,NA,NA,All temps on 5.15.19 taken from the center of the tank using Apogee Thermometer,,,
20190515,NA, 17:41, Tank 4, Ambient,Treatment,27.49,NA,NA,NA,All temps on 5.15.19 taken from the center of the tank using Apogee Thermometer,,,
20190515,NA, 17:42, Tank 5, Heat,Treatment,28.41,NA,NA,NA,All temps on 5.15.19 taken from the center of the tank using Apogee Thermometer,,,
