Date,Time,Treatment,Tank,Position,PAR,Instrument,Measure-Type,Notes
5.13.19, 11:06,Ambient,6,4,296, PAR Sensor, Light Intensity (umol), All intensity readings were taken in two colunms with three points evenly centered under the lights ( Ex: Column 1 = positions 1 3 & 5; six positions in all)
5.13.19, 11:06,Ambient,6,5,303, PAR Sensor, Light Intensity (umol), All intensity readings were taken in two colunms with three points evenly centered under the lights ( Ex: Column 1 = positions 1 3 & 5; six positions in all)
5.13.19, 11:06,Ambient,6,6,310, PAR Sensor, Light Intensity (umol), All intensity readings were taken in two colunms with three points evenly centered under the lights ( Ex: Column 1 = positions 1 3 & 5; six positions in all)
5.14.19, 8:50,Ambient,1,1,327, PAR Sensor, Light Intensity (umol),
5.14.19, 8:50,Ambient,1,2,288, PAR Sensor, Light Intensity (umol),
5.14.19, 8:51,Ambient,1,3,354, PAR Sensor, Light Intensity (umol),
5.14.19, 8:52,Ambient,1,4,322, PAR Sensor, Light Intensity (umol),
5.14.19, 8:53,Ambient,1,5,350, PAR Sensor, Light Intensity (umol),
5.14.19, 8:54,Ambient,1,6,323, PAR Sensor, Light Intensity (umol),
5.14.19, 8:54,High,2,1,234, PAR Sensor, Light Intensity (umol),
5.14.19, 8:55,High,2,2,310, PAR Sensor, Light Intensity (umol),
5.14.19, 8:55,High,2,3,237, PAR Sensor, Light Intensity (umol),
5.14.19, 8:56,High,2,4,322, PAR Sensor, Light Intensity (umol),
5.14.19, 8:56,High,2,5,249, PAR Sensor, Light Intensity (umol),
5.14.19, 8:57,High,2,6,325, PAR Sensor, Light Intensity (umol),
5.14.19, 8:57,High,3,1,354, PAR Sensor, Light Intensity (umol),
5.14.19, 8:58,High,3,2,372, PAR Sensor, Light Intensity (umol),
5.14.19, 8:58,High,3,3,302, PAR Sensor, Light Intensity (umol),
5.14.19, 8:59,High,3,4,352, PAR Sensor, Light Intensity (umol),
5.14.19, 9:00,High,3,5,317, PAR Sensor, Light Intensity (umol),
5.14.19, 9:01,High,3,6,337, PAR Sensor, Light Intensity (umol),
5.14.19, 9:01,Ambient,4,1,294, PAR Sensor, Light Intensity (umol),
5.14.19, 9:02,Ambient,4,2,374, PAR Sensor, Light Intensity (umol),
5.14.19, 9:02,Ambient,4,3,284, PAR Sensor, Light Intensity (umol),
5.14.19, 9:03,Ambient,4,4,392, PAR Sensor, Light Intensity (umol),
5.14.19, 9:04,Ambient,4,5,289, PAR Sensor, Light Intensity (umol),
5.14.19, 9:05,Ambient,4,6,318, PAR Sensor, Light Intensity (umol),
5.14.19, 9:05,High,5,1,327, PAR Sensor, Light Intensity (umol),
5.14.19, 9:06,High,5,2,288, PAR Sensor, Light Intensity (umol),
5.14.19, 9:07,High,5,3,354, PAR Sensor, Light Intensity (umol),
5.14.19, 9:07,High,5,4,322, PAR Sensor, Light Intensity (umol),
5.14.19, 9:08,High,5,5,350, PAR Sensor, Light Intensity (umol),
5.14.19, 9:09,High,5,6,323, PAR Sensor, Light Intensity (umol),
5.14.19, 9:09,Ambient,6,1,327, PAR Sensor, Light Intensity (umol),
5.14.19, 9:10,Ambient,6,2,288, PAR Sensor, Light Intensity (umol),
5.14.19, 9:11,Ambient,6,3,354, PAR Sensor, Light Intensity (umol),
5.14.19, 9:12,Ambient,6,4,322, PAR Sensor, Light Intensity (umol),
5.14.19, 9:13,Ambient,6,5,350, PAR Sensor, Light Intensity (umol),
5.14.19, 9:14,Ambient,6,6,323, PAR Sensor, Light Intensity (umol),
5.15.19, 9:19,Ambient,1,1,320, PAR Sensor, Light Intensity (umol),
5.15.19, 9:19,High,1,2,283, PAR Sensor, Light Intensity (umol),
5.15.19, 9:20,High,1,3,358, PAR Sensor, Light Intensity (umol),
5.15.19, 9:20,Ambient,1,4,327, PAR Sensor, Light Intensity (umol),
5.15.19, 9:21,High,1,5,334, PAR Sensor, Light Intensity (umol),
5.15.19, 9:21,Ambient,1,6,317, PAR Sensor, Light Intensity (umol),
5.15.19, 9:21,Ambient,2,1,235, PAR Sensor, Light Intensity (umol),
5.15.19, 9:22,High,2,2,286, PAR Sensor, Light Intensity (umol),
5.15.19, 9:22,High,2,3,240, PAR Sensor, Light Intensity (umol),
5.15.19, 9:23,Ambient,2,4,345, PAR Sensor, Light Intensity (umol),
5.15.19, 9:24,High,2,5,241, PAR Sensor, Light Intensity (umol),
5.15.19, 9:25,Ambient,2,6,313, PAR Sensor, Light Intensity (umol),
5.15.19, 9:25,Ambient,3,1,278, PAR Sensor, Light Intensity (umol),
5.15.19, 9:26,High,3,2,324, PAR Sensor, Light Intensity (umol),
5.15.19, 9:26,High,3,3,282, PAR Sensor, Light Intensity (umol),
5.15.19, 9:27,Ambient,3,4,319, PAR Sensor, Light Intensity (umol),
5.15.19, 9:28,High,3,5,284, PAR Sensor, Light Intensity (umol),
5.15.19, 9:29,Ambient,3,6,307, PAR Sensor, Light Intensity (umol),
5.15.19, 9:29,Ambient,4,1,319, PAR Sensor, Light Intensity (umol),
5.15.19, 9:30,High,4,2,384, PAR Sensor, Light Intensity (umol),
5.15.19, 9:30,High,4,3,324, PAR Sensor, Light Intensity (umol),
5.15.19, 9:31,Ambient,4,4,385, PAR Sensor, Light Intensity (umol),
5.15.19, 9:31,High,4,5,333, PAR Sensor, Light Intensity (umol),
5.15.19, 9:32,Ambient,4,6,333, PAR Sensor, Light Intensity (umol),
5.15.19, 9:32,Ambient,5,1,368, PAR Sensor, Light Intensity (umol),
5.15.19, 9:32,High,5,2,306, PAR Sensor, Light Intensity (umol),
5.15.19, 9:33,High,5,3,359, PAR Sensor, Light Intensity (umol),
5.15.19, 9:33,Ambient,5,4,315, PAR Sensor, Light Intensity (umol),
5.15.19, 9:34,High,5,5,370, PAR Sensor, Light Intensity (umol),
5.15.19, 9:35,Ambient,5,6,320, PAR Sensor, Light Intensity (umol),
5.15.19, 9:35,Ambient,6,1,360, PAR Sensor, Light Intensity (umol),
5.15.19, 9:36,High,6,2,305, PAR Sensor, Light Intensity (umol),
5.15.19, 9:36,High,6,3,364, PAR Sensor, Light Intensity (umol),
5.15.19, 9:37,Ambient,6,4,327, PAR Sensor, Light Intensity (umol),
5.15.19, 9:37,High,6,5,377, PAR Sensor, Light Intensity (umol),
5.15.19, 9:38,Ambient,6,6,337, PAR Sensor, Light Intensity (umol),
5.16.19, 9:25,Ambient,1,1,310, PAR Sensor, Light Intensity (umol),
5.16.19, 9:26,High,1,2,288, PAR Sensor, Light Intensity (umol),
5.16.19, 9:27,High,1,3,354, PAR Sensor, Light Intensity (umol),
5.16.19, 9:28,Ambient,1,4,334, PAR Sensor, Light Intensity (umol),
5.16.19, 9:28,High,1,5,338, PAR Sensor, Light Intensity (umol),
5.16.19, 9:29,Ambient,1,6,338, PAR Sensor, Light Intensity (umol),
5.16.19, 9:29,Ambient,2,1,291, PAR Sensor, Light Intensity (umol),
5.16.19, 9:30,High,2,2,319, PAR Sensor, Light Intensity (umol),
5.16.19, 9:30,High,2,3,288, PAR Sensor, Light Intensity (umol),
5.16.19, 9:31,Ambient,2,4,330, PAR Sensor, Light Intensity (umol),
5.16.19, 9:32,High,2,5,278, PAR Sensor, Light Intensity (umol),
5.16.19, 9:33,Ambient,2,6,337, PAR Sensor, Light Intensity (umol),
5.16.19, 9:33,Ambient,3,1,278, PAR Sensor, Light Intensity (umol),
5.16.19, 9:34,High,3,2,322, PAR Sensor, Light Intensity (umol),
5.16.19, 9:35,High,3,3,294, PAR Sensor, Light Intensity (umol),
5.16.19, 9:35,Ambient,3,4,294, PAR Sensor, Light Intensity (umol),
5.16.19, 9:36,High,3,5,280, PAR Sensor, Light Intensity (umol),
5.16.19, 9:37,Ambient,3,6,343, PAR Sensor, Light Intensity (umol),
5.16.19, 9:37,Ambient,4,1,320, PAR Sensor, Light Intensity (umol),
5.16.19, 9:38,High,4,2,382, PAR Sensor, Light Intensity (umol),
5.16.19, 9:38,High,4,3,317, PAR Sensor, Light Intensity (umol),
5.16.19, 9:39,Ambient,4,4,376, PAR Sensor, Light Intensity (umol),
5.16.19, 9:39,High,4,5,312, PAR Sensor, Light Intensity (umol),
5.16.19, 9:40,Ambient,4,6,322, PAR Sensor, Light Intensity (umol),
5.16.19, 9:40,Ambient,5,1,360, PAR Sensor, Light Intensity (umol),
5.16.19, 9:41,High,5,2,308, PAR Sensor, Light Intensity (umol),
5.16.19, 9:41,High,5,3,364, PAR Sensor, Light Intensity (umol),
5.16.19, 9:42,Ambient,5,4,330, PAR Sensor, Light Intensity (umol),
5.16.19, 9:42,High,5,5,383, PAR Sensor, Light Intensity (umol),
5.16.19, 9:43,Ambient,5,6,371, PAR Sensor, Light Intensity (umol),
5.16.19, 9:43,Ambient,6,1,360, PAR Sensor, Light Intensity (umol),
5.16.19, 9:44,High,6,2,307, PAR Sensor, Light Intensity (umol),
5.16.19, 9:45,High,6,3,374, PAR Sensor, Light Intensity (umol),
5.16.19, 9:46,Ambient,6,4,322, PAR Sensor, Light Intensity (umol),
5.16.19, 9:46,High,6,5,348, PAR Sensor, Light Intensity (umol),
5.16.19, 9:47,Ambient,6,6,348, PAR Sensor, Light Intensity (umol),
5.17.19, 11:12,Ambient,1,1,338, PAR Sensor, Light Intensity (umol),
5.17.19, 11:13,High,1,2,293, PAR Sensor, Light Intensity (umol),
5.17.19, 11:14,High,1,3,344, PAR Sensor, Light Intensity (umol),
5.17.19, 11:15,Ambient,1,4,324, PAR Sensor, Light Intensity (umol),
5.17.19, 11:15,High,1,5,353, PAR Sensor, Light Intensity (umol),
5.17.19, 11:16,Ambient,1,6,333, PAR Sensor, Light Intensity (umol),
5.17.19, 11:16,Ambient,2,1,282, PAR Sensor, Light Intensity (umol),
5.17.19, 11:17,High,2,2,311, PAR Sensor, Light Intensity (umol),
5.17.19, 11:17,High,2,3,249, PAR Sensor, Light Intensity (umol),
5.17.19, 11:18,Ambient,2,4,342, PAR Sensor, Light Intensity (umol),
5.17.19, 11:18,High,2,5,300, PAR Sensor, Light Intensity (umol),
5.17.19, 11:19,Ambient,2,6,330, PAR Sensor, Light Intensity (umol),
5.17.19, 11:19,Ambient,3,1,324, PAR Sensor, Light Intensity (umol),
5.17.19, 11:20,High,3,2,319, PAR Sensor, Light Intensity (umol),
5.17.19, 11:20,High,3,3,342, PAR Sensor, Light Intensity (umol),
5.17.19, 11:21,Ambient,3,4,326, PAR Sensor, Light Intensity (umol),
5.17.19, 11:21,High,3,5,317, PAR Sensor, Light Intensity (umol),
5.17.19, 11:22,Ambient,3,6,331, PAR Sensor, Light Intensity (umol),
5.17.19, 11:22,Ambient,4,1,317, PAR Sensor, Light Intensity (umol),
5.17.19, 11:23,High,4,2,377, PAR Sensor, Light Intensity (umol),
5.17.19, 11:23,High,4,3,309, PAR Sensor, Light Intensity (umol),
5.17.19, 11:24,Ambient,4,4,374, PAR Sensor, Light Intensity (umol),
5.17.19, 11:25,High,4,5,307, PAR Sensor, Light Intensity (umol),
5.17.19, 11:26,Ambient,4,6,324, PAR Sensor, Light Intensity (umol),
5.17.19, 11:26,Ambient,5,1,372, PAR Sensor, Light Intensity (umol),
5.17.19, 11:27,High,5,2,349, PAR Sensor, Light Intensity (umol),
5.17.19, 11:27,High,5,3,364, PAR Sensor, Light Intensity (umol),
5.17.19, 11:28,Ambient,5,4,312, PAR Sensor, Light Intensity (umol),
5.17.19, 11:28,High,5,5,382, PAR Sensor, Light Intensity (umol),
5.17.19, 11:29,Ambient,5,6,340, PAR Sensor, Light Intensity (umol),
5.17.19, 11:29,Ambient,6,1,354, PAR Sensor, Light Intensity (umol),
5.17.19, 11:30,High,6,2,309, PAR Sensor, Light Intensity (umol),
5.17.19, 11:30,High,6,3,361, PAR Sensor, Light Intensity (umol),
5.17.19, 11:31,Ambient,6,4,316, PAR Sensor, Light Intensity (umol),
5.17.19, 11:31,High,6,5,348, PAR Sensor, Light Intensity (umol),
5.17.19, 11:32,Ambient,6,6,348, PAR Sensor, Light Intensity (umol),
5.18.19, 8:25,Ambient,1,1,302, PAR Sensor, Light Intensity (umol),
5.18.19, 8:26,High,1,2,317, PAR Sensor, Light Intensity (umol),
5.18.19, 8:26,High,1,3,342, PAR Sensor, Light Intensity (umol),
5.18.19, 8:27,Ambient,1,4,342, PAR Sensor, Light Intensity (umol),
5.18.19, 8:28,High,1,5,359, PAR Sensor, Light Intensity (umol),
5.18.19, 8:29,Ambient,1,6,333, PAR Sensor, Light Intensity (umol),
5.18.19, 8:29,Ambient,2,1,261, PAR Sensor, Light Intensity (umol),Before light intensity increase
5.18.19, 8:30,High,2,2,293, PAR Sensor, Light Intensity (umol),
5.18.19, 8:31,High,2,3,267, PAR Sensor, Light Intensity (umol),
5.18.19, 8:31,Ambient,2,4,336, PAR Sensor, Light Intensity (umol),
5.18.19, 8:32,High,2,5,265, PAR Sensor, Light Intensity (umol),
5.18.19, 8:33,Ambient,2,6,317, PAR Sensor, Light Intensity (umol),
5.18.19, 8:33,Ambient,2,1,283, PAR Sensor, Light Intensity (umol),Bumped the CH1 and CH2 Light Intensities up to 27% (readings after the bump)
5.18.19, 8:34,High,2,2,311, PAR Sensor, Light Intensity (umol), Bumped the CH1 and CH2 Light Intensities up to 27% (readings after the bump)
5.18.19, 8:35,High,2,3,360, PAR Sensor, Light Intensity (umol),Bumped the CH1 and CH2 Light Intensities up to 27% (readings after the bump)
5.18.19, 8:36,Ambient,2,4,362, PAR Sensor, Light Intensity (umol),Bumped the CH1 and CH2 Light Intensities up to 27% (readings after the bump)
5.18.19, 8:37,High,2,5,339, PAR Sensor, Light Intensity (umol),Bumped the CH1 and CH2 Light Intensities up to 27% (readings after the bump)
5.18.19, 8:38,Ambient,2,6,351, PAR Sensor, Light Intensity (umol),Bumped the CH1 and CH2 Light Intensities up to 27% (readings after the bump)
5.18.19, 8:38,Ambient,3,1,324, PAR Sensor, Light Intensity (umol),
5.18.19, 8:39,High,3,2,345, PAR Sensor, Light Intensity (umol),
5.18.19, 8:40,High,3,3,305, PAR Sensor, Light Intensity (umol),
5.18.19, 8:41,Ambient,3,4,368, PAR Sensor, Light Intensity (umol),
5.18.19, 8:42,High,3,5,321, PAR Sensor, Light Intensity (umol),
5.18.19, 8:42,Ambient,3,6,331, PAR Sensor, Light Intensity (umol),
5.18.19, 8:43,Ambient,4,1,364, PAR Sensor, Light Intensity (umol),
5.18.19, 8:43,High,4,2,368, PAR Sensor, Light Intensity (umol),
5.18.19, 8:44,High,4,3,356, PAR Sensor, Light Intensity (umol),
5.18.19, 8:45,Ambient,4,4,370, PAR Sensor, Light Intensity (umol),
5.18.19, 8:45,High,4,5,348, PAR Sensor, Light Intensity (umol),
5.18.19, 8:46,Ambient,4,6,330, PAR Sensor, Light Intensity (umol),
5.18.19, 8:46,Ambient,5,1,361, PAR Sensor, Light Intensity (umol),
5.18.19, 8:47,High,5,2,337, PAR Sensor, Light Intensity (umol),
5.18.19, 8:47,High,5,3,357, PAR Sensor, Light Intensity (umol),
5.18.19, 8:48,Ambient,5,4,351, PAR Sensor, Light Intensity (umol),
5.18.19, 8:49,High,5,5,372, PAR Sensor, Light Intensity (umol),
5.18.19, 8:50,Ambient,5,6,366, PAR Sensor, Light Intensity (umol),
5.18.19, 8:51,Ambient,6,1,340, PAR Sensor, Light Intensity (umol),
5.18.19, 8:52,High,6,2,299, PAR Sensor, Light Intensity (umol),
5.18.19, 8:52,High,6,3,361, PAR Sensor, Light Intensity (umol),
5.18.19, 8:53,Ambient,6,4,318, PAR Sensor, Light Intensity (umol),
5.18.19, 8:53,High,6,5,358, PAR Sensor, Light Intensity (umol),
5.18.19, 8:54,Ambient,6,6,333, PAR Sensor, Light Intensity (umol),
5.19.19, 9:10,Ambient,1,1,320, PAR Sensor, Light Intensity (umol),
5.19.19, 9:10,High,1,2,326, PAR Sensor, Light Intensity (umol),
5.19.19, 9:11,High,1,3,357, PAR Sensor, Light Intensity (umol),
5.19.19, 9:11,Ambient,1,4,349, PAR Sensor, Light Intensity (umol),
5.19.19, 9:12,High,1,5,332, PAR Sensor, Light Intensity (umol),
5.19.19, 9:13,Ambient,1,6,335, PAR Sensor, Light Intensity (umol),
5.19.19, 9:13,Ambient,2,1,299, PAR Sensor, Light Intensity (umol),
5.19.19, 9:14,High,2,2,327, PAR Sensor, Light Intensity (umol),
5.19.19, 9:14,High,2,3,349, PAR Sensor, Light Intensity (umol),
5.19.19, 9:15,Ambient,2,4,362, PAR Sensor, Light Intensity (umol),
5.19.19, 9:15,High,2,5,330, PAR Sensor, Light Intensity (umol),
5.19.19, 9:16,Ambient,2,6,344, PAR Sensor, Light Intensity (umol),
5.19.19, 9:16,Ambient,3,1,325, PAR Sensor, Light Intensity (umol),
5.19.19, 9:17,High,3,2,321, PAR Sensor, Light Intensity (umol),
5.19.19, 9:17,High,3,3,354, PAR Sensor, Light Intensity (umol),
5.19.19, 9:18,Ambient,3,4,350, PAR Sensor, Light Intensity (umol),
5.19.19, 9:19,High,3,5,310, PAR Sensor, Light Intensity (umol),
5.19.19, 9:19,Ambient,3,6,338, PAR Sensor, Light Intensity (umol),
5.19.19, 9:19,Ambient,4,1,348, PAR Sensor, Light Intensity (umol),
5.19.19, 9:20,High,4,2,370, PAR Sensor, Light Intensity (umol),
5.19.19, 9:20,High,4,3,367, PAR Sensor, Light Intensity (umol),
5.19.19, 9:21,Ambient,4,4,362, PAR Sensor, Light Intensity (umol),
5.19.19, 9:21,High,4,5,310, PAR Sensor, Light Intensity (umol),
5.19.19, 9:22,Ambient,4,6,348, PAR Sensor, Light Intensity (umol),
5.19.19, 9:22,Ambient,5,1,348, PAR Sensor, Light Intensity (umol),
5.19.19, 9:23,High,5,2,350, PAR Sensor, Light Intensity (umol),
5.19.19, 9:23,High,5,3,356, PAR Sensor, Light Intensity (umol),
5.19.19, 9:24,Ambient,5,4,324, PAR Sensor, Light Intensity (umol),
5.19.19, 9:24,High,5,5,368, PAR Sensor, Light Intensity (umol),
5.19.19, 9:25,Ambient,5,6,357, PAR Sensor, Light Intensity (umol),
5.19.19, 9:26,Ambient,6,1,366, PAR Sensor, Light Intensity (umol),
5.19.19, 9:27,High,6,2,336, PAR Sensor, Light Intensity (umol),
5.19.19, 9:27,High,6,3,342, PAR Sensor, Light Intensity (umol),
5.19.19, 9:28,High,6,4,366, PAR Sensor, Light Intensity (umol),
5.19.19, 9:29,High,6,5,358, PAR Sensor, Light Intensity (umol),
5.19.19, 9:30,Ambient,6,6,357, PAR Sensor, Light Intensity (umol),
5.20.19, 10:02,Ambient,1,1,352, PAR Sensor, Light Intensity (umol),
5.20.19, 10:02,High,1,2,328, PAR Sensor, Light Intensity (umol),
5.20.19, 10:03,High,1,3,357, PAR Sensor, Light Intensity (umol),
5.20.19, 10:04,Ambient,1,4,332, PAR Sensor, Light Intensity (umol),
5.20.19, 10:05,High,1,5,329, PAR Sensor, Light Intensity (umol),
5.20.19, 10:06,Ambient,1,6,315, PAR Sensor, Light Intensity (umol),
5.20.19, 10:06,Ambient,2,1,359, PAR Sensor, Light Intensity (umol),
5.20.19, 10:06,High,2,2,373, PAR Sensor, Light Intensity (umol),
5.20.19, 10:07,High,2,3,320, PAR Sensor, Light Intensity (umol),
5.20.19, 10:07,Ambient,2,4,362, PAR Sensor, Light Intensity (umol),
5.20.19, 10:08,High,2,5,324, PAR Sensor, Light Intensity (umol),
5.20.19, 10:08,Ambient,2,6,335, PAR Sensor, Light Intensity (umol),
5.20.19, 10:09,Ambient,3,1,309, PAR Sensor, Light Intensity (umol),
5.20.19, 10:09,High,3,2,364, PAR Sensor, Light Intensity (umol),
5.20.19, 10:10,High,3,3,305, PAR Sensor, Light Intensity (umol),
5.20.19, 10:11,Ambient,3,4,356, PAR Sensor, Light Intensity (umol),
5.20.19, 10:11,High,3,5,333, PAR Sensor, Light Intensity (umol),
5.20.19, 10:12,Ambient,3,6,373, PAR Sensor, Light Intensity (umol),
5.20.19, 10:12,Ambient,4,1,372, PAR Sensor, Light Intensity (umol),
5.20.19, 10:13,High,4,2,362, PAR Sensor, Light Intensity (umol),
5.20.19, 10:13,High,4,3,380, PAR Sensor, Light Intensity (umol),
5.20.19, 10:14,Ambient,4,4,382, PAR Sensor, Light Intensity (umol),
5.20.19, 10:15,High,4,5,356, PAR Sensor, Light Intensity (umol),
5.20.19, 10:16,Ambient,4,6,334, PAR Sensor, Light Intensity (umol),
5.20.19, 10:16,Ambient,5,1,356, PAR Sensor, Light Intensity (umol),
5.20.19, 10:17,High,5,2,377, PAR Sensor, Light Intensity (umol),
5.20.19, 10:17,High,5,3,357, PAR Sensor, Light Intensity (umol),
5.20.19, 10:17,Ambient,5,4,344, PAR Sensor, Light Intensity (umol),
5.20.19, 10:18,High,5,5,378, PAR Sensor, Light Intensity (umol),
5.20.19, 10:18,Ambient,5,6,364, PAR Sensor, Light Intensity (umol),
5.20.19, 10:18,Ambient,6,1,360, PAR Sensor, Light Intensity (umol),
5.20.19, 10:19,High,6,2,297, PAR Sensor, Light Intensity (umol),
5.20.19, 10:19,High,6,3,368, PAR Sensor, Light Intensity (umol),
5.20.19, 10:20,Ambient,6,4,336, PAR Sensor, Light Intensity (umol),
5.20.19, 10:20,High,6,5,343, PAR Sensor, Light Intensity (umol),
5.20.19, 10:21,Ambient,6,6,317, PAR Sensor, Light Intensity (umol),
5.21.19, 8:42,Ambient,1,1,351, PAR Sensor, Light Intensity (umol),
5.21.19, 8:43,High,1,2,368, PAR Sensor, Light Intensity (umol),
5.21.19, 8:43,High,1,3,348, PAR Sensor, Light Intensity (umol),
